,OBJECTID,response_id,response_date,q3_1_respondee_type_business_ow,q3_2_respondee_type_resident,q3_3_respondee_type_worker,q3_4_respondee_type_student,q3_5_respondee_type_visitor,q3_6_respondee_type_property_ow,q4_1_business_postcode,q4_2_business_type,q4_3_business_overview,q5_ATSI_business,q6_1_pre_covid_full_time_staff,q6_2_pre_covid_part_time_staff,q6_3_pre_covid_casual_staff,q6_4_pre_covid_contract_staff,q7_covid_impact_on_employment_l,q8_1_post_covid_full_time_staff,q8_2_post_covid_part_time_staff,q8_3_post_covid_casual_staff,q8_4_post_covid_contract_staff,q9_1_covid_impact_on_business_r,q9_2_covid_impact_on_business_i,q9_3_covid_impact_on_business_r,q9_4_covid_impact_on_business_i,q9_5_covid_impact_on_business_g,q9_6_covid_impact_on_business_d,q10_business_still_operating,q11_1_reason_for_business_closi,q11_2_reason_for_business_closi,q11_3_reason_for_business_closi,q11_4_reason_for_business_closi,q11_5_reason_for_business_closi,q11_6_reason_for_business_closi,q11_7_reason_for_business_closi,q11_8_reason_for_business_closi,q11_9_reason_for_business_closi,q11_10_reason_for_business_clos,q11_11_reason_for_business_clos,q11_12_reason_for_business_clos,q12_what_could_have_helped_busi,q13_how_long_can_business_remai,q14_1_change_made_to_business_e,q14_2_change_made_to_business_p,q14_3_change_made_to_business_d,q15_changes_made_to_business_ot,q16_collaborating_with_other_bu,q17_1_understanding_of_federal_,q17_2_understanding_of_state_go,q17_3_understanding_of_local_go,q18_not_seeking_support,q18_2_seeking_rent_relief_from_,q18_3_seeking_debt_relief_from_,q18_4_seeking_payroll_tax_relie,q18_5_seeking_jobkeeper_benefit,q18_6_seeking_tax_relief_from_f,q18_7_seeking_small_business_gr,q18_8_seeking_grant_support_fro,q18_9_seeking_unsecured_busines,q18_10_seeking_support_other,q19_1_undefined,q19_2_seeking_rent_relief_from_,q19_3_seeking_debt_relief_from_,q19_4_seeking_payroll_tax_relie,q19_5_seeking_jobkeeper_benefit,q19_6_seeking_tax_relief_from_f,q19_7_seeking_small_business_gr,q19_8_seeking_grant_support_fro,q19_9_seeking_unsecured_busines,q19_10_seeking_support_other_st,q20_1_potential_support_from_ci,q20_2_potential_support_from_ci,q20_3_potential_support_from_ci,q20_4_potential_support_from_ci,q20_5_potential_support_from_ci,q20_6_potential_support_from_ci,q20_7_potential_support_from_ci,q20_8_potential_support_from_ci,q20_9_potential_support_from_ci,q20_10_potential_support_from_c,q20_11_potential_support_from_c,q20_12_potential_support_from_c,q21_1_business_change_within_18,q21_2_business_change_within_18,q21_3_business_change_within_18,q21_4_business_change_within_18,q21_5_business_change_within_18,q21_6_business_change_within_18,q21_7_business_change_within_18,q21_8_business_change_within_18,q21_9_business_change_within_18,q21_10_business_change_within_1,q21_11_business_change_within_1,q21_12_business_change_within_1,q21_13_business_change_within_1,q21_14_business_change_within_1,q21_15_business_change_within_1,q22_business_viable_at_which_st,q23_sector_change_post_restrict,q29_covid_recovery_planning_add,q30_covid_recovery_planning_add,q31_1_covid_recovery_planning_a,q31_2_covid_recovery_planning_a,q31_3_covid_recovery_planning_a,q31_4_covid_recovery_planning_a,q31_5_covid_recovery_planning_a,q31_6_covid_recovery_planning_a,q31_7_covid_recovery_planning_a,q31_8_covid_recovery_planning_a,q31_9_covid_recovery_planning_a,q31_10_covid_recovery_planning_,q32_1_which_activities_would_yo,q32_2_which_activities_would_yo,q32_3_which_activities_would_yo,q32_4_which_activities_would_yo,q32_5_which_activities_would_yo,q32_6_which_activities_would_yo,q32_7_which_activities_would_yo,q32_8_which_activities_would_yo,q32_9_which_activities_would_yo,q32_10_which_activities_would_y,q32_11_which_activities_would_y,q32_12_which_activities_would_y,q32_13_which_activities_would_y,q32_14_which_activities_would_y,q32_15_which_activities_would_y,q32_16_which_activities_would_y,q32_17_which_activities_would_y,q32_18_which_activities_would_y,q32_19_which_activities_would_y,q33_1_are_there_any_positive_th,q33_2_are_there_any_positive_th,q33_3_are_there_any_positive_th,q33_4_are_there_any_positive_th,q33_5_are_there_any_positive_th,q33_6_are_there_any_positive_th,q33_7_are_there_any_positive_th,q34_1_how_soon_do_you_think_you,q34_2_how_soon_do_you_think_you,q34_3_how_soon_do_you_think_you,q34_4_how_soon_do_you_think_you,q34_5_how_soon_do_you_think_you,q34_6_how_soon_do_you_think_you,q34_7_how_soon_do_you_think_you,q34_8_how_soon_do_you_think_you,q34_9_how_soon_do_you_think_you,q34_10_how_soon_do_you_think_yo,q35_1_how_important_is_city_of_,q35_2_how_important_is_city_of_,q35_3_how_important_is_city_of_,q35_4_how_important_is_city_of_,q35_5_how_important_is_city_of_,q35_6_how_important_is_city_of_,q35_7_how_important_is_city_of_,q35_8_how_important_is_city_of_,q37_1_what_concerns_you_most_ab,q37_2_what_concerns_you_most_ab,q37_3_what_concerns_you_most_ab,q37_4_what_concerns_you_most_ab,q37_5_what_concerns_you_most_ab,q37_6_what_concerns_you_most_ab,q37_7_what_concerns_you_most_ab,q37_8_what_concerns_you_most_ab,q37_9_what_concerns_you_most_ab,q37_10_what_concerns_you_most_a,q37_11_what_concerns_you_most_a,q37_12_what_concerns_you_most_a,q37_13_what_concerns_you_most_a,q37_14_what_concerns_you_most_a,q37_15_what_concerns_you_most_a,q37_16_what_concerns_you_most_a,q37_17_what_concerns_you_most_a,q38_1_mostly_positive_changes,q38_2_mostly_negative_changes,q40_1_respondee_age_range,q40_2_respondee_identified_gend,q40_3_respondee_identify_as_a_p,q40_4_respondee_identify_as_abo,q41_respondee_home_postcode_sub,q42_respondee_current_place_of_,q43_respondee_current_place_of_,q44_respondee_speak_a_language_,q45_respondee_languages_spoken_,q48_final_comments,q4_1_2nd_business_postcode
3647,3648,3898,28/05/2020,Yes,No,No,No,No,No,2000,"Incorporated not-for-profit (charity, social enterprise)",Live theatre performance and theatre venue management,No,106,25,62,17,Yes – I’ve let staff go,21,98,72,3,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3650,3651,3901,28/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,"Provide Flexible office solutions and virtual office, reception and booking services",No,9,0,1,0,Yes – I’ve let staff go,7,,,,High,Low,Some,Some,High,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,Yes,No,no_response,No,Mostly,Mostly,Mostly,no_response,Applied - awaiting outcome,no_response,Applied – successful,Applied – successful,Applied – successful,no_response,no_response,no_response,no_response,no_response,Landlords very slow to respond and be co-operative or supportive in anyway,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,Yes,No,No,No,Yes,Yes,No,No,No,No,no_response,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Stage 2: 20 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3659,3660,3607,27/05/2020,Yes,No,No,No,No,No,2039,Incorporated for-profit,We produce a comedy festival called [personal data withheld] which is an annual event in November and also tour comedians from overseas around Australia .,No,6,3,10,3,Yes – I’ve let staff go,6,3,0,0,High,None / NA,High,None / NA,High,High,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Not Applicable,Not Applicable,Readjust to no activity or income.,no - just trying very hard to keep existing until the international borders are open again and we can contiunue operating.,Mostly,Mostly,Mostly,no_response,Not required,Not required,Not applied – not eligible,Applied – successful,Applied – successful,Applied – awaiting outcome,Other,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,Have been unsuccessful in previous rounds. Have not applied for 2020 as we have no artists.,no_response,no_response,Yes,No,Yes,No,No,Yes,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not relevant,"We need our business to go back to normal so we can continue - this means international travel/larger than 100 people gatherings (Up to 8,000  for large arena events.)",Yes,"Loss of income / employment,Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Physical health concerns,Wellbeing and mental health concerns,Reduced access to the internet and online services and networks",No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,no_response,No,Yes,Yes,Yes,Yes,No,no_response,Immediately,Immediately,,,,,,Immediately,Immediately,Immediately,Very important,Very important,Very important,Very important,,Very important,Very important,,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,no_response,people being more conscious about spreading viruses,restricted events and activity,50-59,Male,No,No,2039,Unit/apartment in a 4+ storey block,Paying it off / mortgaged,No,no_response,no_response,no_response
3663,3664,3611,27/05/2020,Yes,No,No,No,No,No,2009,Other,Insurance broker,No,6,2,0,0,No impact,,,,,None / NA,High,None / NA,Some,Low,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,No,No,Yes,no_response,No,Completely,Completely,Not at all,Yes,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,Yes,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Not relevant,no_response,Yes,"Worrying about people who are important to me,Not being able to do activities that are important to me,Wellbeing and mental health concerns",No,No,No,No,No,No,No,No,No,no_response,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,no_response,Yes,No,Yes,No,No,No,no_response,4-6 months,1-3 months,,,,,,4-6 months,Immediately,1-3 months,Very important,Very important,Very important,Very important,,Very important,Very important,,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,no_response,no_response,no_response,30-39,Male,No,No,Pyrmont,Unit/apartment in a 4+ storey block,Renting,Yes,Other,no_response,no_response
3672,3673,3619,27/05/2020,Yes,Yes,No,No,No,No,2018,Incorporated for-profit,Tourism,No,2,0,0,5,Yes – I’ve let staff go,2,,,,High,None / NA,High,None / NA,High,None / NA,No - temporary closure,Yes,Yes,Yes,No,No,No,No,No,No,No,No,no_response,"Open borders, ease restrictions",no_response,Not Applicable,Not Applicable,Not Applicable,No,No initiatives,Completely,Completely,Mostly,no_response,no_response,Applied – successful,no_response,Applied – successful,Not applied – not aware,Applied – successful,Not applied – not aware,Not applied – not aware,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3678,3679,3624,27/05/2020,Yes,No,No,No,Yes,No,2017,"Incorporated not-for-profit (charity, social enterprise)",Provide a point of social interaction and education for members and community participants in Bonsai,No,0,0,0,0,All positions are voluntary,0,0,0,0,None / NA,None / NA,High,Low,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Not Applicable,Yes,Yes,Moved to electronic forum onl;y,No,Not Applicable,Not Applicable,Somewhat,Yes,no_response,no_response,no_response,no_response,no_response,no_response,Other,no_response,Hoping for continuation of current leasing arrangements,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,No,No,No,No,No,No,No,No,no_response,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Stage 2: 20 people,Clear guidance on prevailing limitations,Yes,"Worrying about people who are important to me,Stress from children being at home more",No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,Yes,No,No,No,no_response,Immediately,Immediately,,,,,,Immediately,no_response,no_response,Very important,Very important,Important,Important,,Very important,Somewhat important,,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,no_response,no_response,Jobs will be permanently lost and environment will suffer more than before,60-69,Male,No,No,2132,Separate house,Outright owner,No,no_response,no_response,no_response
3684,3685,3630,27/05/2020,Yes,No,No,No,No,No,2039,Incorporated for-profit,tt,No,0,0,0,0,Yes – I’ve let staff go,1,1,1,1,None / NA,None / NA,None / NA,None / NA,High,High,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Yes,Not Applicable,Not Applicable,re,no,Mostly,Mostly,Mostly,Yes,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,Yes,No,No,Yes,No,No,No,No,No,no_response,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Not relevant,weee,Yes,Nothing,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,Immediately,Immediately,,,,,,Immediately,Immediately,Immediately,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,no_response,hh,kkk,20-29,Male,Yes,No,2039,Unit/apartment in a 4+ storey block,Paying it off / mortgaged,No,no_response,no_response,no_response
3691,3692,3637,27/05/2020,Yes,Yes,No,No,No,No,2010,Sole trader,Dance class and studio,No,1,0,2,0,Reduced salary for reduced time of income,1,0,0,0,High,High,High,None / NA,High,None / NA,No - temporary closure,Yes,No,Yes,No,No,No,No,No,No,No,No,no_response,Fitness industry regulations relaxed,no_response,Not Applicable,Yes,Yes,Zoom classes with low attendance,No,Somewhat,Somewhat,Somewhat,no_response,Applied - awaiting outcome,Not required,Not required,Applied – successful,Not applied – not aware,Applied – successful,Not applied – not aware,Not applied – not aware,no_response,no_response,They have not advised what they will offer,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,Yes,No,No,No,No,No,No,Yes,No,No,no_response,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Not sure,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3702,3703,3648,27/05/2020,Yes,Yes,No,No,No,No,2000,Incorporated for-profit,Chartered Accounting Practice,No,43,3,2,0,Yes – I’ve hired more staff,43,3,2,0,Some,None / NA,None / NA,High,Low,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Yes,Yes,Yes,"Our professional services staff are increasing working remotely, while our clients adjust to the new way of doing business.","Yes, we are working with various Chambers of Commerce and NSW Treasury to introduce policy changes on behalf of SME businesses.",Completely,Completely,Completely,no_response,Applied - successful,Applied – awaiting outcome,Applied – successful,Applied – successful,Applied – successful,Applied – awaiting outcome,Applied – awaiting outcome,Applied – awaiting outcome,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,Yes,No,No,No,Yes,No,No,No,No,No,no_response,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Stage 3: 100 people,no_response,Yes,Not being able to do activities that are important to me,No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,no_response,Yes,Yes,Yes,Yes,No,Yes,no_response,Immediately,1-3 months,,,,,,Immediately,Immediately,4-6 months,Important,Very important,Very important,Important,,Important,Important,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,no_response,no_response,no_response,40-49,Male,No,No,2009,Unit/apartment in a 4+ storey block,Paying it off / mortgaged,Yes,Spanish; German; Persian,no_response,no_response
3707,3708,3903,28/05/2020,Yes,No,No,No,No,No,2011,Incorporated for-profit,Design and build special events,No,4,5,10,0,"I've reduced staff hours, but haven't let staff go",,,,,High,High,High,None / NA,Low,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,No,Yes,Yes,WFH  A lot of outside wellbeing efforts to keep everyone right,Minimal,Mostly,Somewhat,Somewhat,no_response,Applied - awaiting outcome,Applied – awaiting outcome,Applied – awaiting outcome,Applied – successful,Applied – successful,Applied – awaiting outcome,Not applied – not eligible,Preparing an application,"It all hurts, 98-100% dip",no_response,Mmmm awaits,Awaiting,no_response,Applied successfully,Applied successfully,no_response,no_response,no_response,no_response,No,No,Yes,No,No,Yes,No,No,Yes,No,No,",",No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Not sure,Support and less red tape for small business to service government,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3708,3709,3702,27/05/2020,Yes,No,No,No,No,No,2000,Other,Cafes,No,2,0,2,0,Yes – I’ve let staff go,2,,,,High,High,High,High,High,Some,No - temporary closure,No,Yes,No,No,No,No,No,No,No,No,No,no_response,Lower rent and office come back to work,no_response,Not Applicable,Not Applicable,Not Applicable,No chance,no_response,Completely,Completely,Mostly,no_response,Applied - unsuccessful,Applied – successful,Applied – successful,Applied – successful,Applied – successful,Applied – successful,Preparing,Not applied – not aware,no_response,no_response,Landlords not responding emails,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,Yes,No,No,No,No,No,No,Yes,No,no_response,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Stage 3: 100 people,2110,Yes,"Not being able to pay basic living costs (bills, rent, rates, childcare, strata fees, and loans)",Yes,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,"No,Working",Immediately,Immediately,,,,,,1-3 months,Immediately,Immediately,Very important,Very important,Very important,Very important,,Important,Somewhat important,,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3710,3711,3755,27/05/2020,Yes,No,No,No,No,No,2073,"Incorporated not-for-profit (charity, social enterprise)",[personal data withheld],No,0,0,0,0,will affect 450 volunteers,0,0,0,0,Low,Low,Low,Low,None / NA,None / NA,No - temporary closure,No,No,No,No,No,No,No,No,No,No,No,Our principal activities commence each year in August/September,"Our principal activities commence in August/September. If restrictions and health issues still persist then, we may have to abandon our Christmas activities for the first time in 80 years. Our special celebrations will have to be abandonned and any funds we normally provide to help the needy in Sydney will not be available",no_response,No,No,No,Not applicable until August when we will have to make crucial decisions for our 80th annual 'Messiah' at Christmas presentations in the Sydney Town Hall..,"With [personal data withheld] which does all of our ticketing (worth to them about $10,000).",Not Applicable,Not Applicable,Not at all,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Not applied – not aware,no_response,Discussions with City of Sydney Council about our December [personal data withheld] booking/arrangements if we have to cancel due to the Covid19 threat.,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,Yes,No,Yes,No,No,no_response,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Not sure,"Our performances involve a choir of 400 voices, orchestra, organ, conductor, 4 soloists, and two performances both with audiences of about 1300 persons. We cannot go ahead with choir rehearsals in October or ticket sales from September if virtually all restrictions are removed AND (most importantly) it is reasonable on health grounds to proceed.",no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3711,3712,3904,28/05/2020,Yes,Yes,No,No,No,No,2016,Sole trader,Social research,No,1,0,0,0,No impact,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
3715,3716,3908,28/05/2020,Yes,No,No,No,No,No,2016,Sole trader,Catering,No,95,0,250,0,All staff are on job keeper that qualified - we currently have 102 staff on job keeper the remainder of staff had to leave,72,,30,,High,None / NA,High,None / NA,High,None / NA,No - temporary closure,Yes,Yes,No,Yes,No,No,No,No,No,No,No,our business was totally shut down because of the Government restristrictions from a annual turnover of 28 million,no,no_response,No,No,No,no_response,no,Mostly,Not at all,Not at all,no_response,Applied - successful,Not required,Applied – successful,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not aware,Not required,no_response,no_response,"My personal landlord evicted us. we have various landlords, we have received some rent relief however this is still not sufficient as we have no income.",no_response,no_response,"this was helpful however we had to fund the jobkeeper with an upfront payment of $320,000",we have received some relief however due to the government's restricions our business was totally shut down. their support I consider appauling considering our situation,Not aware,Not aware,no_response,no_response,No,No,No,No,No,No,No,No,No,No,No,we would appreciate any support. We have successfully operated this business for over 20 years and find it extraordinary that we can loose everything at my age of 62 because of the government's restrictions.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not relevant,"our business is primarily events based even though we do manage cafes and restaurants. the social distancing rule will limit our capacities and therefore greatly impact our income however we are being forced by our landlords and venues to pay 100% rents plus we will have to pay back the rent waiver . If everyone has to suffer, than I wouldn't complain however social distancing rules looks as though they wont' apply for airlines and other organisations including sport but we will be fined if we don't comply. Covid-19 has totally devastated a successful business and the governments poor communication and financial mishandling has been extremely disappointing.",Yes,"Not being able to pay basic living costs (bills, rent, rates, childcare, strata fees, and loans),Not being able to access important services such as doctors, physios, counselling etc ,Lack of availability of daily essentials such as food and medicine,Loss of income / employment,Worrying about the security of my job ,Having to move house",No,No,No,No,No,No,No,No,No,My wife and myself are living on Job Keeper and just have enough money to buy food and pay basic bills. We applied for job seeker when we first lost our jobs and still haven't heard back from them. it has been over 4 months,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,apart from handling a financal crisis. I have found trying to negotiate rent and and dealing every day with creditors extremely difficult. Codes of advice don't work for landlords,Immediately,Immediately,,,,,,Longer,Immediately,Immediately,Very important,Very important,Very important,Very important,,Somewhat important,Very important,,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,no_response,I do think more flexible working conditions have benefits. it has made everyone to be more aware of hygiene,"increase in the gap between wealthy and poor, many people have lost everything in my industry which has been devastating and many won't recover, we must improve communication, we struggle everyday to understand how to operate in this environment, everyone is saying something different.",60-69,Male,No,No,2088,Unit/apartment in a 1-3 storey block,Renting,No,no_response,no but appreciate being given the opportunity to say how this have personally impacted me,no_response
3723,3724,3915,28/05/2020,Yes,No,No,No,No,No,2000,"Incorporated not-for-profit (charity, social enterprise)",Supports SME Business Community,No,0,1,1,0,"I've reduced staff hours, but haven't let staff go",,,,,High,High,High,None / NA,Some,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,Yes,Yes,"We have provided similar services but in a constrained virtual. Demand for interaction with businesses has increased due to the difficult challenges they are facing,",Yes. We are working more closely with Members and partners which assist us develop programs in a collaborative approach.,Mostly,Mostly,Completely,no_response,Not applied - not aware,Not required,Not required,Applied – awaiting outcome,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Applied awaiting outcome,no_response,No,No,No,no_response,Yes,No,No,No,No,Yes,No,No,No,No,No,no_response,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Stage 1: 10 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
