Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Bar Restaurant,> 10,No,6,0,60,Our business has seen a dramatic decrease in sales during work day and evenings comparative to prior.,Decreased,Increase,Yes,,,,,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,Yes,,,,,Yes,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,255
2000,Sydney,Cyber Security Services MSP,6 to 10,No,10,10,5,A bit disrupted but generally ok,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,Yes,,,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,Yes,,,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,,,Yes,,,,,,,No,,Don't know,7000,Computer System Design and Related Services,ICT,ICT - Services,256
2000,Barangaroo,Hotel,1 to 5,No,1000,200,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,257
2000,Sydney,Mid Large Hotel Accomm Bars Restaurants,< 1,No,70,70,50,"Many people want to work from home and now see it as a right, not a measure that saved their job during a pandemic.  The offices are mostly empty so business levels and travel to the city are down.",Significantly increased (more than 50% increase),Increase > 50%,,Yes,,,,,,Business premises,,New,New,New,New,,,,,Yes,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,In-person events,,Worse off,Better off,Worse off,Yes,Yes,,Yes,,,,Yes,,Yes,Yes,,,,,Yes,,,No,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,258
2038,Annandale,,1 to 5,No,2,,,d,Significantly decreased (more than 50% decline),Decrease > 50%,,Yes,,,,,,Split between locations (hybrid),,New,New,New,New,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,In-person events,,Better off,Better off,Better off,,Yes,,,,,,,,,Yes,,,,,Yes,No,,No,ZZZZ,Not Surveyed,Other,Other - Other,259
2000,Haymarket,Dance Studio,> 10,No,1,,10,City was closed. Business not able to open,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,Improved/expanded,Temporary,Temporary,Improved/expanded,,,,,,,,,,Yes,,Yes,,,,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,Don't know,8212,Arts Education,Higher Education and Research,HEandR - Education,260
2000,Sydney,Hotel,> 10,No,106,132,13,"Lower corporate business base recovery, lower F&B foot traffic, lower productivity",Decreased,Increase,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,,,Yes,,Yes,Yes,,,Yes,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,,,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,Don't know,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,261
2000,Sydney,Data Services,1 to 5,No,6,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5921,Data Processing and Web Hosting Services,ICT,ICT - Services,262
2010,Darlinghurst,Dental,6 to 10,No,8,2,5,Little impact. Patients have more flexibility to attend appointments.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,Yes,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,No,8531,Dental Services,Health,Health - Medical and Dental Services,263
2010,Darlinghurst,Dentist,6 to 10,No,5,8,3,Offers more flexibility to attend appointments. Generally beneficial.,Decreased,Increase,,Yes,,,,Yes,,Business premises,,No change,No change,No change,No change,"Tried online sales and consults, not suitable,",,,Yes,Yes,Yes,Yes,,,,,,Yes,,,There is a tendency to talk about Covid as if it is over to encourage people to go out. Instead many feel unsafe as the messaging does not match the reality.,,,Yes,,,,,,,Yes,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,,Yes,Yes,,,Biodegradable plastics that meet healthcare requirements,,Yes,Yes,,,,,,,No,,Don't know,8531,Dental Services,Health,Health - Medical and Dental Services,264
2000,The Rocks,Hotel,> 10,No,500,,,Cbn,Decreased,Increase,Yes,,,,,,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,No,,Yes,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,265
2000,Barangaroo,Hotel,> 10,No,180,35,150,none,Increased,Remain the same,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,266
2000,Sydney,Hotel,> 10,Prefer not to say,85,45,2,"WFH is having a huge impact on business, particularly food and beverage. It's a huge risk to future growth. People that cannot work from home should receive income tax benefits. Otherwise the ""haves vs the have nots"" will widen as more people look to a WFH job.",Decreased,Increase,Yes,Yes,,,,,,Business premises,,New,No change,No change,No change,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,,,,,,,Yes,,,Yes,,,,In-person events,,Worse off,Worse off,Worse off,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,partner with support and training providers,No,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,267
2000,Sydney,Hotel,> 10,No,115,75,,Less foot traffic to our hotel.,Increased,Increase,,,,,,Yes,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,268
2000,Sydney,Dentist,6 to 10,No,,2,,Significantly quieter,Decreased,Decrease,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,In-person events,,Worse off,Worse off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,8531,Dental Services,Health,Health - Medical and Dental Services,269
2000,The Rocks,Restaurant and Bar,> 10,No,35,,55,impacted our revenue and visitations. coupled by the previous 10 years of the CBD License Lockout plans and light rail works!,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,270
2008,Chippendale,Design and Manufacturing,> 10,No,20,,1,Reduced staff in office.   Redundent office space.  Reduced Car Parking Needs,Increased,Increase,,,,,,Yes,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,,Yes,,,,,,,,Yes,,Yes,,,Yes,,,,,Yes,,Yes,Yes,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,No,6924,Other Specialised Design Services,Creative Industries,Creative Business,271
2007,Ultimo,Design Consultancy,> 10,No,3,1,,office is now unattended,Decreased,Decrease,,Yes,,,,,,Fully remote,,No change,No change,No change,No change,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Online webinars or live streaming,,Worse off,Worse off,Worse off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,6924,Other Specialised Design Services,Creative Industries,Creative Business,272
2000,Sydney,Legal Services,> 10,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931,Legal Services,Professional and Business Services,PBS - Legal Services,273
2000,Sydney,Cafe,6 to 10,No,4,2,,Terrible sales down 50 %  Economy 50%,Significantly decreased (more than 50% decline),Remain the same,,Yes,,,,,Reduced menu items,Business premises,,No change,No change,No change,No change,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,Yes,,,,,,,,,,,,Yes,,,No,,Yes,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,274
2000,Haymarket,Designer,> 10,No,12,8,2,Minimal. Delegation and colaboration are harder but the majority are remote workers,Decreased,Increase > 50%,,Yes,,,,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,No,,No,6924,Other Specialised Design Services,Creative Industries,Creative Business,275
2010,Darlinghurst,Digital Media,> 10,No,13,3,3,Reduced outputs,Decreased,Increase,,Yes,,,,,,Split between locations (hybrid),,No change,No change,No change,Improved/expanded,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,In-person events,,Worse off,Better off,Worse off,,,,,,Yes,,,Yes,,,,,,,,No,,Yes,5700,Internet Publishing and Broadcasting,ICT,ICT - Services,276
2042,Newtown,Digital Transformation and Data Analytics,1 to 5,No,2,,3,It has helped the business to work from anywhere,Remained the same,Increase,,,,,,,As before the pandemic,Fully remote,,New,No change,Improved/expanded,Improved/expanded,,,,,Yes,,,Yes,,,,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,,,,In-person events,,Better off,Better off,Better off,,,,,,Yes,,,Yes,,,,,,,Yes,,If and when an opportunity arises,No,7000,Computer System Design and Related Services,ICT,ICT - Services,277
2010,Darlinghurst,Dining,> 10,Prefer not to say,0,0,0,It can't be done,Remained the same,Decrease,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,,,,,not seeking support but also not seeking impediments...get out of our commerce.,,,,,,,,,,,,,,,,NIL,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,278
2000,Millers Point,Diplomatic,6 to 10,No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552,Foreign Government Representation,Government,Foreign Government Representation,279
2010,Darlinghurst,DJ Events Dance Parties,> 10,No,0,0,0,"More DJ work outside the CBD, and into the surrounding suburbs such as small bars and restaurants.",Remained the same,Remain the same,,,,,,Yes,,Split between locations (hybrid),,Temporary,Temporary,No change,No change,,,,,Yes,Yes,Yes,,,,,Yes,,,,Micro electric transport trial. NSW is far behind every other state.,Yes,Yes,,,Yes,,,,,,Yes,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,,,,,,,,,,,,,,,,,,,,9002,"Creative Artists, Musicians, Writers and Performers",Creative Industries,Creative Culture,280
2010,Darlinghurst,Early Childhood Education and Care,6 to 10,No,15,10,5,Not applicable to our business - unable to work from home,Decreased,Remain the same,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,Yes,,,,,,,,,,Yes,,,Yes,,,,,,Yes,,,,Yes,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,Yes,,Active Reconciliation Action Plan both for our organisation and our site,Yes,8710,Child Care Services,Social Capital,Child Care Services,281
2010,Surry Hills,E-commerce Business,6 to 10,No,6,,,Impacting our ability to move the business forward. Stuck in a routune,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,Yes,,,,,,Yes,,Yes,,Yes,,,,,Yes,,,Yes,,,,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,Yes,,,,,,,,Yes,,,,,,,Yes,,We use indigenous wildflowers in our products,Yes,4129F,Other Specialised Food Retailing N.E.C.,Food and Drink,Food and Drink Specialised,282
2011,Rushcutters Bay,E-commerce Retail,< 1,No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310,Non-Store Retailing,Retail and Personal Services,Other,283
2000,Sydney,Accommodation Hotel,> 10,No,70,40,30,We have seen a drop in demand for corporate accommodation. F&B oulets are very quiet on Mondays and Fridays,Decreased,Increase,,Yes,,,,,Unable to sell rooms at full capacity as I can't find staff to clean the rooms,Business premises,,No change,Improved/expanded,Improved/expanded,No change,,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,Yes,,,Yes,,,Yes,,,,Yes,,,,In-person events,,Worse off,Better off,Worse off,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,No,,Yes,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,284
2065,,Education,1 to 5,No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,285
2000,Sydney,Education,> 10,No,22,50,,"Less team work less shared industry knxowledge, less productivity",Remained the same,Increase,,,,Yes,,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,Yes,Yes,,,,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Better off,,,Yes,,,,,,,,,,,Yes,,,No,,Yes,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,286
2000,Haymarket,Education,6 to 10,No,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,287
2000,Sydney,Education,6 to 10,No,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,288
2000,Sydney,Education Agency,6 to 10,No,6,4,4,it was not productive.,Remained the same,Increase,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,,,,,,,,,,,,,,,,,,,,8220,Educational Support Services,Higher Education and Research,HEandR - Education,289
2000,Sydney,Education Agency,> 10,No,2,1,1,"we do not have much impact , but business itself are affected much.for Covid-19",Increased,Remain the same,Yes,,,,,,,Split between locations (hybrid),,No change,No change,No change,New,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,8220,Educational Support Services,Higher Education and Research,HEandR - Education,290
2000,Sydney,Education and Hospitality,> 10,No,15,35,,"less traffic in the cafe, it's time to bring people back for most of the week",Remained the same,Remain the same,Yes,,,,Yes,,cafe hours reduced,Other (please describe),work from home 2 days/week  then at business,Improved/expanded,Improved/expanded,,Improved/expanded,,,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,Yes,,Yes,,,any plans for sharing locally produced energy in the city,,Yes,,,,,Yes,,,No,,Yes,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,291
2010,Surry Hills,Energy Management Consultancy,6 to 10,No,5,3,1,Difficult to train new staff.  Limited staff engagement,Increased,Remain the same,,,,,,Yes,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,Yes,,,,,Yes,,,,,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,292
2000,Haymarket,Engineering,1 to 5,Prefer not to say,15,10,10,"less efficient communications, less teamwork",Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,No change,We do no selling or marketing,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Dispute resolution,In-person events,,Worse off,Better off,Better off,Yes,,,,,,"As a tenant in a large office building, there is little direct changes we can do.  Perhaps working form home is a sustainability strategy",Yes,Yes,Yes,,,,,,Yes,,Specific hiring policy for some roles,Yes,6923,Engineering Design and Engineering Consulting Services,Professional and Business Services,PBS - Technical Services,293
2000,Sydney,Engineering,> 10,No,20,10,,less efficiency from no face to face interaction and poor integration of new hires,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6923,Engineering Design and Engineering Consulting Services,Professional and Business Services,PBS - Technical Services,294
2000,Sydney,Entertainment,> 10,No,0,2,3,"slow business, no cliental, needing to close shop more days as lack of staffing and patrons",Significantly decreased (more than 50% decline),Decrease,Yes,Yes,,,,,,Business premises,,Temporary,No change,No change,Temporary,,,,Yes,Yes,Yes,,,,,,Yes,,Yes,Yes,less working from home,Yes,Yes,Yes,,,,Yes,,,,,,,,,less working from home,In-person events,,Worse off,Worse off,Worse off,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,open to all backgrounds,Don't know,7299C,Event Management,Professional and Business Services,PBS - Business Services,295
2000,Sydney,Entertainment,6 to 10,No,2,1,16,N/A,Increased,Remain the same,,,,,Yes,,,Business premises,,No change,Temporary,Temporary,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,Yes,,,,,No,,Yes,7299C,Event Management,Professional and Business Services,PBS - Business Services,296
2000,Sydney,Environmental Services,6 to 10,No,70,,,more flexibility  improved wellbeing with flexibility,Remained the same,Increase,,,,,,,Flexible work from home 2 days a week,Split between locations (hybrid),,Improved/expanded,No change,No change,No change,,,,Yes,Yes,,,,,,,,,,,,Yes,,,Yes,,,,,,Yes,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,Reconcilliation Action Plan in place,Yes,6910,Scientific Research Services,Higher Education and Research,HEandR - Research,297
2000,Sydney,Events,> 10,No,52,12,2,Terrible impact on our work culture and a hinderance to team collaboration,Remained the same,Remain the same,,,,,Yes,,,Business premises,,New,New,New,New,,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,,Yes,,,,,,,In-person events,,Better off,Better off,Better off,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,No,,Yes,7299C,Event Management,Professional and Business Services,PBS - Business Services,298
2011,Elizabeth Bay,Japanese Restaurant,1 to 5,Yes,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,299
2130,,Events,1 to 5,No,,,4,Less spending on going out,Increased,Increase,,,,,,Yes,,Fully remote,,Improved/expanded,No change,No change,Improved/expanded,,,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,,,,In-person events,,Better off,Better off,Better off,,,,,,Yes,,Yes,Yes,,,,,,,,No,,Don't know,7299C,Event Management,Professional and Business Services,PBS - Business Services,300
2000,Sydney,Music Venue,6 to 10,No,20,2,78,"The expectation of flexibility has increased dramatically and failure to provide such flexibility strongly inhibits recruitment. However, hybrid working for some administration staff has generated resentment amongst employees whose roles prohibit such flexibility and work flow and communication is impacted in the office.    In revenue terms, sales are 30% down on pre-pandemic levels which we assign to a combination of COVID avoidance, inflation, and house-boundedness.",Increased,Remain the same,,,,,Yes,,,Other (please describe),"Most roles on premises, but hybrid in administration",Improved/expanded,No change,No change,Improved/expanded,,,,,Yes,Yes,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,Initiated Sustainability Action Plan in 2022,,Yes,,Yes,Yes,Yes,,Initiated Disability Inclusion Plan in 2022,Yes,,Initiated Reconciliation Action Plan in 2022,Yes,9003,Performing Arts Venue Operation,Creative Industries,Creative Recreation,301
2010,Surry Hills,Pub Hotel,> 10,Prefer not to say,5,,30,Inconsistancy of trade. We no longer know when it will be busy or quite. Group booking and staff lunchs etc have dropped right off.,Significantly decreased (more than 50% decline),Increase,Yes,Yes,,,,,,Business premises,,Improved/expanded,,,Improved/expanded,,,,,Yes,,Yes,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,Don't know,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,302
2000,Haymarket,,< 1,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZZZZ,Not Surveyed,Other,Other - Other,303
2009,Pyrmont,Network Software,1 to 5,No,15,,,Material as you need to meet up with client face to face.,Significantly increased (more than 50% increase),Increase > 50%,,,,,Yes,,,Split between locations (hybrid),,Temporary,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,Yes,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,304
2000,Sydney,Neurotherapy,> 10,No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8599,Other Health Care Services n.e.c.,Health,Health - Other Health Services,305
2000,Sydney,Newsagency,1 to 5,No,3,,,yes,Remained the same,Decrease > 50%,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,Yes,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Better off,,,,,,,,,,,,,,,,,,,,4244A,Newsagent/Newspaper and Magazines Retailing,Retail and Personal Services,"News, Books & Stationary",306
2000,Sydney,Nfp Card and Gift Shop Organisation Office,> 10,No,,4,,Reduced foot traffic and therefore income which supports or ministry.  Transport stoppages have NOT HELPED and have significantly impacted on business and economy of Town Hall Arcade precinct,Increased,Remain the same,Yes,,,,,,"We have been committed to keeping business open and to carrying the extra financial impact, but it has not been easy as often we do not make enough to fully cover wages.",Business premises,,New,Improved/expanded,Temporary,New,,,,,Yes,Yes,Yes,,,,,,,,,"The situation with transport MUST BE SORTED, it is taking our workers 2 hours average to come to city.",Yes,,,,,Yes,,,Yes,,,,Yes,,Yes,,1:1 mentoring,,Worse off,Better off,Worse off,Yes,Yes,,,,,,,Yes,,Yes,,,,"We currently employ a worker with disability, we employ diverse and totally qualified people to tasks",Yes,,Our organisation works with Aboriginal and Torres Strait communities delivering training in parenting and family equip courses,Yes,4272B,Cards Retailing,Retail and Personal Services,"News, Books & Stationary",307
2000,Sydney,Office Design and Fitout,6 to 10,No,15,,,Nil,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,New,No change,Improved/expanded,Improved/expanded,,,,,,,,,,,,,Yes,,,"More loading zones, less bike lanes",Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,Yes,,,,,,Yes,Yes,Yes,,,,,,No,,Yes,6921,Architectural Services,Creative Industries,Creative Business,308
2000,Sydney,Office for Business,> 10,No,1,0,0,Not much as I'm only one.,Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,No change,No change,Improved/expanded,Improved/expanded,,,Yes,,,,,Yes,,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,,,Online webinars or live streaming,,Worse off,Worse off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,6999B,Co-Working Space,Professional and Business Services,PBS - Business Services,309
